"Country","Year","GDP"
"Australia",2014,bag
"Australia",2014,bag
"Australia",2014,bag
"Australia",2014,bag
"Australia",2014,bag
"Australia",2014,bag
"Australia",2014,bundle
"Australia",2014,bundle
"Australia",2014,coin
"Australia",2014,coin
"Iceland",2014,bag
"Iceland",2014,bag
"Iceland",2014,bag
"Iceland",2014,bag
"Iceland",2014,bag
"Iceland",2014,bundle
"Iceland",2014,bundle
"Iceland",2014,coin
"Iceland",2014,coin
"Iceland",2014,coin
"Iceland",2014,coin
"Iceland",2014,coin
"Japan",2014,bag
"Japan",2014,bag
"Japan",2014,bundle
"Japan",2014,coin
"Japan",2014,coin
"Sweden",2014,bundle
"Sweden",2014,bundle
"Sweden",2014,bundle
"Sweden",2014,bundle
"Sweden",2014,bundle
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Sweden",2014,coin
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bag
"Switzerland",2014,bundle
"Switzerland",2014,bundle
"Switzerland",2014,bundle
"Switzerland",2014,bundle
"Switzerland",2014,bundle
"Switzerland",2014,coin
"Switzerland",2014,coin
"Switzerland",2014,coin
"Switzerland",2014,coin
"Switzerland",2014,coin
"Switzerland",2014,coin
"Switzerland",2014,coin
"Switzerland",2014,coin
