"","Country","Year","Life expectancy"
"1","Australia",2015,82.8
"2","Australia",2014,82.7
"3","Australia",2013,82.5
"4","Australia",2012,82.3
"5","Australia",2011,82
"6","Australia",2010,81.9
"7","Australia",2009,81.7
"8","Australia",2008,81.3
"9","Australia",2007,81.3
"10","Australia",2006,81.2
"11","Australia",2005,81
"12","Australia",2004,86
"13","Australia",2003,83
"14","Australia",2002,79.9
"15","Australia",2001,79.9
"16","Australia",2000,79.5
"17","Canada",2015,82.2
"18","Canada",2014,82
"19","Canada",2013,81.8
"20","Canada",2012,81.6
"21","Canada",2011,81.5
"22","Canada",2010,81.2
"23","Canada",2009,81
"24","Canada",2008,87
"25","Canada",2007,85
"26","Canada",2006,85
"27","Canada",2005,81
"28","Canada",2004,80
"29","Canada",2003,79.7
"30","Canada",2002,79.5
"31","Canada",2001,79.4
"32","Canada",2000,79.1
"33","France",2015,82.4
"34","France",2014,82.2
"35","France",2013,82
"36","France",2012,81.5
"37","France",2011,81.7
"38","France",2010,81.3
"39","France",2009,81.1
"40","France",2008,89
"41","France",2007,89
"42","France",2006,86
"43","France",2005,81
"44","France",2004,82
"45","France",2003,79.3
"46","France",2002,79.2
"47","France",2001,79
"48","France",2000,78.8
"49","Iceland",2015,82.7
"50","Iceland",2014,82.5
"51","Iceland",2013,82.4
"52","Iceland",2012,82.5
"53","Iceland",2011,82.1
"54","Iceland",2010,81.8
"55","Iceland",2009,81.6
"56","Iceland",2008,81.4
"57","Iceland",2007,81.3
"58","Iceland",2006,81.1
"59","Iceland",2005,81
"60","Iceland",2004,88
"61","Iceland",2003,87
"62","Iceland",2002,84
"63","Iceland",2001,80
"64","Iceland",2000,79.7
"65","Italy",2015,82.7
"66","Italy",2014,82.5
"67","Italy",2013,82.3
"68","Italy",2012,82
"69","Italy",2011,82
"70","Italy",2010,81.8
"71","Italy",2009,81.6
"72","Italy",2008,81.5
"73","Italy",2007,81.3
"74","Italy",2006,81.2
"75","Italy",2005,88
"76","Italy",2004,89
"77","Italy",2003,79.9
"78","Italy",2002,80
"79","Italy",2001,79.8
"80","Italy",2000,79.4
"81","Japan",2015,83.7
"82","Japan",2014,83.5
"83","Japan",2013,83.5
"84","Japan",2012,83.3
"85","Japan",2011,82.5
"86","Japan",2010,83
"87","Japan",2009,83
"88","Japan",2008,82.7
"89","Japan",2007,82.6
"90","Japan",2006,82.4
"91","Japan",2005,82
"92","Japan",2004,82.1
"93","Japan",2003,81.9
"94","Japan",2002,81.8
"95","Japan",2001,81.5
"96","Japan",2000,81.1
"97","Norway",2015,81.8
"98","Norway",2014,81.6
"99","Norway",2013,81.5
"100","Norway",2012,81.3
"101","Norway",2011,81.1
"102","Norway",2010,81
"103","Norway",2009,89
"104","Norway",2008,86
"105","Norway",2007,85
"106","Norway",2006,84
"107","Norway",2005,81
"108","Norway",2004,79.8
"109","Norway",2003,79.4
"110","Norway",2002,78.9
"111","Norway",2001,78.8
"112","Norway",2000,78.5
"113","Spain",2015,82.8
"114","Spain",2014,82.6
"115","Spain",2013,82.4
"116","Spain",2012,82
"117","Spain",2011,82.1
"118","Spain",2010,81.9
"119","Spain",2009,81.6
"120","Spain",2008,81.3
"121","Spain",2007,89
"122","Spain",2006,88
"123","Spain",2005,81
"124","Spain",2004,81
"125","Spain",2003,79.4
"126","Spain",2002,79.5
"127","Spain",2001,79.4
"128","Spain",2000,79.1
"129","Sweden",2015,82.4
"130","Sweden",2014,82.3
"131","Sweden",2013,81.9
"132","Sweden",2012,81.7
"133","Sweden",2011,81.7
"134","Sweden",2010,81.5
"135","Sweden",2009,81.4
"136","Sweden",2008,81.1
"137","Sweden",2007,89
"138","Sweden",2006,88
"139","Sweden",2005,85
"140","Sweden",2004,83
"141","Sweden",2003,82
"142","Sweden",2002,79.9
"143","Sweden",2001,79.8
"144","Sweden",2000,79.6
"145","Switzerland",2015,83.4
"146","Switzerland",2014,83.2
"147","Switzerland",2013,83
"148","Switzerland",2012,82.7
"149","Switzerland",2011,82.6
"150","Switzerland",2010,82.3
"151","Switzerland",2009,82.1
"152","Switzerland",2008,82
"153","Switzerland",2007,81.7
"154","Switzerland",2006,81.5
"155","Switzerland",2005,81.1
"156","Switzerland",2004,81
"157","Switzerland",2003,85
"158","Switzerland",2002,84
"159","Switzerland",2001,82
"160","Switzerland",2000,79.7
